# Metaplanet Inc. (3350.T / MTPLF) BTC holdings purchase-event series.
# Values are approximate, seeded for MVP demo purposes from public disclosures.
# The final cumulative total (~30k BTC) targets reality for early 2026.
date,btc_total,source_url
2024-05-09,117,https://metaplanet.jp/en/press
2024-07-15,243,https://metaplanet.jp/en/press
2024-09-02,398,https://metaplanet.jp/en/press
2024-11-11,1018,https://metaplanet.jp/en/press
2024-12-23,1762,https://metaplanet.jp/en/press
2025-02-10,3050,https://metaplanet.jp/en/press
2025-05-05,6796,https://metaplanet.jp/en/press
2025-08-18,15555,https://metaplanet.jp/en/press
2025-10-20,22000,https://metaplanet.jp/en/press
2025-12-15,27500,https://metaplanet.jp/en/press
2026-02-09,29800,https://metaplanet.jp/en/press
2026-03-16,30100,https://metaplanet.jp/en/press
